"";"Number.of.censored.participants....";"True.underlying.effect.beta";"ParametersUD_min";"ParametersUD_max"
"1";30;0;0;500
"2";30;0,5;0;650
"3";30;0,25;0;550
"4";30;-0,25;0;400
"5";30;-0,5;0;400
"6";50;0;0;175
"7";50;0,5;0;225
"8";50;0,25;0;200
"9";50;-0,25;0;150
"10";50;-0,5;0;125
"11";70;0;0;60
"12";70;0,5;0;75
"13";70;0,25;0;75
"14";70;-0,25;0;55
"15";70;-0,5;0;50
