"";"Number.of.censored.participants....";"True.underlying.effect.beta";"ParametersUD_min";"ParametersUD_max"
"1";30;0;0;175
"2";30;0,5;0;250
"3";30;0,25;0;200
"4";30;-0,25;0;150
"5";30;-0,5;0;130
"6";50;0;0;100
"7";50;0,5;0;140
"8";50;0,25;0;125
"9";50;-0,25;0;90
"10";50;-0,5;0;80
"11";70;0;0;60
"12";70;0,5;0;75
"13";70;0,25;0;70
"14";70;-0,25;0;50
"15";70;-0,5;0;40
